order_id,date,product_name,brand,quantity,unit_price,total_price
100000,2025-05-02 18:00:00,Brambory 2kg,Rohlik Farma,1,51.33,51.33
100000,2025-05-02 18:00:00,Bílý jogurt 400g,Danone,1,29.04,29.04
100000,2025-05-02 18:00:00,Mycí prostředek na nádobí,Jar,1,52.7,52.7
100000,2025-05-02 18:00:00,Eidam 30% plátky,Madeta,2,40.8,81.6
100000,2025-05-02 18:00:00,Toaletní papír 8ks,Papírny,1,106.82,106.82
100000,2025-05-02 18:00:00,Zmrzlina vanilková,Ben & Jerry's,3,133.67,401.02
100000,2025-05-02 18:00:00,Minerální voda 1.5l,Mattoni,1,19.23,19.23
100001,2025-05-03 08:00:00,Čokoláda,Milka,1,42.97,42.97
100001,2025-05-03 08:00:00,Banány,Rohlik Farma,3,39.58,118.74
100001,2025-05-03 08:00:00,Prací gel 1.5l,Persil,1,216.08,216.08
100001,2025-05-03 08:00:00,Šunka,Kostelecké uzeniny,2,81.85,163.71
100001,2025-05-03 08:00:00,Kuřecí prsa,Vodňanské kuře,1,176.07,176.07
100001,2025-05-03 08:00:00,Mrkev,Rohlik Farma,2,28.03,56.07
100001,2025-05-03 08:00:00,Bílý jogurt 400g,Danone,1,33.42,33.42
100001,2025-05-03 08:00:00,Rajčata,Rohlik Farma,3,50.46,151.37
100001,2025-05-03 08:00:00,Mražená pizza,Dr. Oetker,3,94.74,284.22
100001,2025-05-03 08:00:00,Eidam 30% plátky,Madeta,1,51.58,51.58
100001,2025-05-03 08:00:00,Vejce M 10ks,Rohlik Farma,1,88.21,88.21
100001,2025-05-03 08:00:00,Losos filet,Norway Seafoods,2,241.4,482.81
100001,2025-05-03 08:00:00,Víno červené,Bohemia Sekt,3,198.43,595.28
100001,2025-05-03 08:00:00,Mleté hovězí maso,Steak House,1,187.59,187.59
100001,2025-05-03 08:00:00,Rohlíky 6ks,Rohlik Bakery,1,23.49,23.49
100001,2025-05-03 08:00:00,Avokádo,Rohlik Farma,3,39.7,119.09
100002,2025-05-06 12:00:00,Chléb konzumní,Penam,1,44.99,44.99
100002,2025-05-06 12:00:00,Losos filet,Norway Seafoods,1,238.36,238.36
100002,2025-05-06 12:00:00,Mrkev,Rohlik Farma,1,27.53,27.53
100002,2025-05-06 12:00:00,Víno červené,Bohemia Sekt,2,173.08,346.16
